realSum,room_type,person_capacity,host_is_superhost,guest_satisfaction_overall,bedrooms,day_type,rating_category
194.03,Private room,2,0,93,1,weekdays,Very Satisfied
344.25,Private room,4,0,85,1,weekdays,Very Satisfied
264.1,Private room,2,0,87,1,weekdays,Very Satisfied
433.53,Private room,4,0,90,2,weekdays,Very Satisfied
485.55,Private room,2,1,98,1,weekdays,Very Satisfied
552.81,Private room,3,0,100,2,weekdays,Very Satisfied
215.12,Private room,2,0,94,1,weekdays,Very Satisfied
1001.8,Entire home/apt,4,0,96,2,weekdays,Very Satisfied
276.52,Private room,2,0,88,1,weekdays,Very Satisfied
909.47,Entire home/apt,2,0,96,1,weekdays,Very Satisfied
319.64,Private room,2,1,97,1,weekdays,Very Satisfied
675.6,Entire home/apt,4,0,87,1,weekdays,Very Satisfied
552.81,Entire home/apt,2,1,100,1,weekdays,Very Satisfied
209.03,Private room,2,0,96,1,weekdays,Very Satisfied
368.85,Private room,2,1,98,1,weekdays,Very Satisfied
368.85,Private room,2,0,90,1,weekdays,Very Satisfied
337.92,Private room,2,1,97,1,weekdays,Very Satisfied
313.55,Private room,2,1,96,1,weekdays,Very Satisfied
447.59,Entire home/apt,2,0,93,1,weekdays,Very Satisfied
243.25,Private room,2,1,96,1,weekdays,Very Satisfied
933.85,Entire home/apt,4,0,96,2,weekdays,Very Satisfied
251.92,Private room,2,0,97,1,weekdays,Very Satisfied
377.29,Private room,2,0,98,1,weekdays,Very Satisfied
245.59,Private room,2,1,96,1,weekdays,Very Satisfied
217.7,Private room,2,0,93,1,weekdays,Very Satisfied
295.03,Private room,2,0,95,1,weekdays,Very Satisfied
295.03,Private room,2,0,94,1,weekdays,Very Satisfied
1032.97,Entire home/apt,4,0,96,2,weekdays,Very Satisfied
270.43,Private room,4,1,98,1,weekdays,Very Satisfied
524.69,Entire home/apt,2,0,89,1,weekdays,Very Satisfied
599.68,Entire home/apt,4,0,94,3,weekdays,Very Satisfied
516.02,Entire home/apt,4,0,100,2,weekdays,Very Satisfied
602.25,Entire home/apt,3,0,100,2,weekdays,Very Satisfied
504.07,Entire home/apt,4,0,94,2,weekdays,Very Satisfied
1609.92,Entire home/apt,6,0,96,3,weekdays,Very Satisfied
310.97,Entire home/apt,2,0,94,0,weekdays,Very Satisfied
202.7,Private room,2,0,94,1,weekdays,Very Satisfied
796.29,Entire home/apt,4,0,94,2,weekdays,Very Satisfied
504.07,Private room,2,0,96,1,weekdays,Very Satisfied
319.64,Private room,2,0,95,1,weekdays,Very Satisfied
614.44,Private room,4,0,96,1,weekdays,Very Satisfied
467.04,Private room,3,0,94,1,weekdays,Very Satisfied
716.38,Entire home/apt,5,1,96,2,weekdays,Very Satisfied
350.1,Private room,2,0,91,0,weekdays,Very Satisfied
319.64,Private room,2,0,97,1,weekdays,Very Satisfied
467.04,Private room,3,0,96,1,weekdays,Very Satisfied
983.29,Entire home/apt,3,1,100,2,weekdays,Very Satisfied
298.78,Private room,2,1,94,0,weekdays,Very Satisfied
196.61,Private room,4,0,94,1,weekdays,Very Satisfied
430.25,Entire home/apt,2,0,96,1,weekdays,Very Satisfied
319.64,Private room,2,0,95,1,weekdays,Very Satisfied
405.64,Private room,4,1,98,1,weekdays,Very Satisfied
334.17,Private room,2,1,97,1,weekdays,Very Satisfied
491.88,Private room,2,0,98,1,weekdays,Very Satisfied
319.64,Private room,2,0,95,1,weekdays,Very Satisfied
780.35,Private room,4,0,100,5,weekdays,Very Satisfied
355.03,Entire home/apt,2,0,90,1,weekdays,Very Satisfied
1044.69,Entire home/apt,4,0,98,2,weekdays,Very Satisfied
847.84,Entire home/apt,4,0,98,3,weekdays,Very Satisfied
373.77,Private room,2,1,98,1,weekdays,Very Satisfied
613.27,Entire home/apt,4,0,84,1,weekdays,Very Satisfied
238.32,Private room,2,1,98,1,weekdays,Very Satisfied
430.25,Entire home/apt,2,0,97,1,weekdays,Very Satisfied
348.0,Entire home/apt,3,0,77,2,weekdays,Satisfied
330.42,Entire home/apt,2,0,98,1,weekdays,Very Satisfied
1179.67,Entire home/apt,4,1,99,2,weekdays,Very Satisfied
259.18,Private room,2,1,98,1,weekdays,Very Satisfied
277.93,Private room,2,1,97,1,weekdays,Very Satisfied
467.04,Entire home/apt,3,0,96,2,weekdays,Very Satisfied
583.74,Entire home/apt,2,1,99,1,weekdays,Very Satisfied
374.94,Private room,4,0,88,1,weekdays,Very Satisfied
372.37,Private room,2,0,97,1,weekdays,Very Satisfied
479.23,Shared room,2,1,96,1,weekdays,Very Satisfied
454.85,Entire home/apt,2,1,98,1,weekdays,Very Satisfied
206.45,Private room,2,0,95,1,weekdays,Very Satisfied
497.74,Private room,2,0,95,1,weekdays,Very Satisfied
399.55,Entire home/apt,2,1,97,1,weekdays,Very Satisfied
761.84,Private room,4,0,93,2,weekdays,Very Satisfied
317.06,Private room,2,0,90,1,weekdays,Very Satisfied
319.41,Private room,2,0,96,1,weekdays,Very Satisfied
209.03,Private room,2,1,97,1,weekdays,Very Satisfied
209.03,Private room,2,1,98,1,weekdays,Very Satisfied
640.45,Entire home/apt,2,0,96,1,weekdays,Very Satisfied
209.03,Private room,2,1,98,1,weekdays,Very Satisfied
934.08,Private room,4,1,96,1,weekdays,Very Satisfied
210.2,Private room,2,0,88,1,weekdays,Very Satisfied
221.22,Private room,2,0,94,1,weekdays,Very Satisfied
441.26,Private room,2,0,91,1,weekdays,Very Satisfied
325.5,Private room,2,0,80,1,weekdays,Satisfied
792.77,Entire home/apt,4,0,97,2,weekdays,Very Satisfied
213.95,Private room,2,1,93,1,weekdays,Very Satisfied
1557.19,Entire home/apt,4,1,98,2,weekdays,Very Satisfied
317.06,Private room,2,1,99,1,weekdays,Very Satisfied
319.64,Entire home/apt,2,1,95,1,weekdays,Very Satisfied
1044.69,Entire home/apt,2,0,98,1,weekdays,Very Satisfied
310.97,Entire home/apt,2,0,94,1,weekdays,Very Satisfied
295.03,Entire home/apt,2,0,92,1,weekdays,Very Satisfied
344.25,Entire home/apt,2,0,82,0,weekdays,Very Satisfied
539.22,Entire home/apt,2,0,98,1,weekdays,Very Satisfied
460.95,Private room,2,1,98,1,weekdays,Very Satisfied
1376.51,Entire home/apt,4,1,93,2,weekdays,Very Satisfied
415.49,Entire home/apt,4,1,98,1,weekdays,Very Satisfied
215.12,Private room,2,1,95,1,weekdays,Very Satisfied
393.46,Private room,2,1,97,1,weekdays,Very Satisfied
232.23,Private room,2,0,97,0,weekdays,Very Satisfied
774.26,Entire home/apt,2,1,100,1,weekdays,Very Satisfied
291.05,Private room,2,0,90,1,weekdays,Very Satisfied
604.6,Entire home/apt,4,1,95,1,weekdays,Very Satisfied
467.04,Entire home/apt,2,0,97,1,weekdays,Very Satisfied
744.5,Entire home/apt,2,0,92,0,weekdays,Very Satisfied
250.74,Private room,2,1,94,1,weekdays,Very Satisfied
544.14,Private room,4,1,97,2,weekdays,Very Satisfied
424.16,Entire home/apt,2,0,97,1,weekdays,Very Satisfied
675.6,Entire home/apt,2,1,97,1,weekdays,Very Satisfied
909.47,Entire home/apt,4,1,98,2,weekdays,Very Satisfied
264.1,Private room,2,1,98,1,weekdays,Very Satisfied
196.61,Private room,2,1,97,1,weekdays,Very Satisfied
700.44,Entire home/apt,4,1,97,2,weekdays,Very Satisfied
307.22,Private room,2,1,99,1,weekdays,Very Satisfied
528.2,Private room,4,0,93,1,weekdays,Very Satisfied
675.6,Entire home/apt,2,0,94,1,weekdays,Very Satisfied
675.6,Entire home/apt,4,1,98,1,weekdays,Very Satisfied
515.78,Entire home/apt,3,0,97,1,weekdays,Very Satisfied
442.67,Entire home/apt,2,0,100,1,weekdays,Very Satisfied
596.16,Entire home/apt,4,0,98,3,weekdays,Very Satisfied
920.49,Entire home/apt,4,1,99,3,weekdays,Very Satisfied
718.96,Entire home/apt,2,0,100,1,weekdays,Very Satisfied
276.52,Private room,2,1,96,1,weekdays,Very Satisfied
988.21,Entire home/apt,4,0,98,3,weekdays,Very Satisfied
270.43,Private room,2,1,98,1,weekdays,Very Satisfied
798.63,Entire home/apt,4,0,87,2,weekdays,Very Satisfied
479.46,Entire home/apt,3,0,92,1,weekdays,Very Satisfied
934.08,Entire home/apt,2,1,99,1,weekdays,Very Satisfied
639.05,Entire home/apt,4,0,94,2,weekdays,Very Satisfied
1474.94,Private room,5,1,99,2,weekdays,Very Satisfied
1020.08,Entire home/apt,4,1,96,2,weekdays,Very Satisfied
1192.09,Entire home/apt,4,0,98,2,weekdays,Very Satisfied
798.63,Entire home/apt,2,0,99,1,weekdays,Very Satisfied
854.4,Entire home/apt,4,0,98,3,weekdays,Very Satisfied
614.44,Private room,2,0,78,1,weekdays,Satisfied
283.79,Private room,2,0,92,1,weekdays,Very Satisfied
870.11,Entire home/apt,4,0,98,3,weekdays,Very Satisfied
180.21,Private room,2,0,90,1,weekdays,Very Satisfied
242.07,Private room,2,1,97,1,weekdays,Very Satisfied
418.06,Private room,4,0,91,1,weekdays,Very Satisfied
281.44,Private room,2,0,92,1,weekdays,Very Satisfied
215.12,Private room,2,0,93,1,weekdays,Very Satisfied
448.53,Private room,2,0,97,1,weekdays,Very Satisfied
614.44,Entire home/apt,2,0,98,1,weekdays,Very Satisfied
279.1,Private room,2,0,86,1,weekdays,Very Satisfied
663.65,Entire home/apt,2,0,80,1,weekdays,Satisfied
279.1,Private room,2,0,96,1,weekdays,Very Satisfied
1044.69,Entire home/apt,2,0,100,1,weekdays,Very Satisfied
299.72,Private room,2,0,93,1,weekdays,Very Satisfied
405.64,Entire home/apt,2,0,89,1,weekdays,Very Satisfied
985.63,Entire home/apt,2,0,97,1,weekdays,Very Satisfied
1214.12,Entire home/apt,4,0,93,0,weekdays,Very Satisfied
305.81,Private room,4,1,96,1,weekdays,Very Satisfied
937.6,Private room,4,0,92,1,weekdays,Very Satisfied
292.46,Private room,2,1,87,1,weekdays,Very Satisfied
552.81,Entire home/apt,4,1,99,1,weekdays,Very Satisfied
1228.88,Entire home/apt,4,0,80,2,weekdays,Satisfied
251.92,Private room,2,0,86,1,weekdays,Very Satisfied
258.24,Private room,2,0,91,1,weekdays,Very Satisfied
562.89,Private room,4,0,96,1,weekdays,Very Satisfied
462.12,Entire home/apt,2,0,90,0,weekdays,Very Satisfied
458.37,Entire home/apt,2,1,99,1,weekdays,Very Satisfied
184.43,Private room,2,1,98,1,weekdays,Very Satisfied
780.59,Entire home/apt,4,0,100,2,weekdays,Very Satisfied
228.72,Private room,2,0,90,1,weekdays,Very Satisfied
221.45,Private room,2,1,100,1,weekdays,Very Satisfied
385.96,Private room,2,0,93,0,weekdays,Very Satisfied
